algo,score,time,result
2,10,19.53776526451111,win
1,5,23.88167715072632,lose
1,10,25.66630482673645,win
1,1,5.711186408996582,lose
1,0,10.737260818481445,lose
1,9,32.4049186706543,win
2,10,39.882829666137695,win
2,10,31.593198776245117,win
1,10,25.247918367385864,win
1,6,47.320990562438965,lose
1,3,18.071410179138184,lose
1,10,21.590631008148193,win
1,10,36.916118144989014,win
2,1,11.678138494491577,lose
2,2,16.739745378494263,lose
2,2,18.791119813919067,lose
1,10,31.933505535125732,win
1,10,44.28921985626221,win
1,9,32.96194076538086,win
1,10,62.019322872161865,win
1,3,18.463772296905518,lose
1,10,46.53325366973877,win
2,2,11.218701601028442,lose
2,0,3.3990864753723145,lose
2,3,24.420209407806396,lose
2,1,14.58876371383667,lose
2,1,9.913514137268066,lose
2,0,12.558921813964844,lose
2,1,16.626604080200195,lose
2,3,17.271182775497437,lose
1,10,53.81988167762756,win
1,10,52.038679122924805,win
1,10,22.899770975112915,win
1,9,33.573933839797974,win
1,4,27.303255796432495,lose
1,2,4.888430595397949,lose
1,7,36.38449001312256,lose
1,8,31.662193775177002,win
1,5,34.63989734649658,lose
1,6,25.30693554878235,lose
1,9,58.83133053779602,win
2,8,22.70059108734131,lose
2,0,5.658135175704956,lose
1,9,44.65148377418518,lose
1,6,53.559038400650024,lose
1,6,48.15216088294983,lose
1,4,35.945088624954224,lose
1,4,11.160611152648926,lose
1,0,10.73022723197937,lose
1,7,25.009684085845947,lose
1,1,8.579290390014648,lose
1,7,48.38739514350891,lose
1,1,17.466873168945312,lose
1,9,40.67290902137756,lose
1,1,7.017868995666504,lose
1,5,19.13137173652649,lose
1,10,56.60881543159485,win
1,2,15.370429515838623,lose
1,10,60.13151431083679,win
1,0,10.326866865158081,lose
1,6,17.035448789596558,lose
1,10,39.60041904449463,win
1,9,63.30841088294983,lose
1,2,7.370185613632202,lose
1,2,7.8225908279418945,lose
1,0,2.844574213027954,lose
1,0,4.20682168006897,lose
1,10,25.5281400680542,win
1,4,21.138163089752197,lose
1,3,9.833431720733643,lose
1,10,35.16341185569763,win
1,9,51.92063808441162,win
1,3,16.60557460784912,lose
1,9,32.91638994216919,win
