Algorithm;Condition;Time;Score
ExpectimaxAgent;Lose;0:00:04.632062;-450
ExpectimaxAgent;Lose;0:00:02.795334;-461
ExpectimaxAgent;Lose;0:00:03.232022;-452
ExpectimaxAgent;Lose;0:00:02.601728;-462
ExpectimaxAgent;Win;0:00:00.018002;532
ExpectimaxAgent;Lose;0:00:00.005998;-502
ExpectimaxAgent;Lose;0:00:00.009005;-502
ExpectimaxAgent;Win;0:00:00.030035;532
ExpectimaxAgent;Lose;0:00:00.006000;-502
ExpectimaxAgent;Lose;0:00:00.006998;-502
ExpectimaxAgent;Lose;0:00:00.009997;-502
ExpectimaxAgent;Lose;0:00:00.007019;-502
ExpectimaxAgent;Win;0:00:00.027992;532
ExpectimaxAgent;Win;0:00:00.027027;532
AlphaBetaAgent;Lose;0:00:00.001997;-501
AlphaBetaAgent;Lose;0:00:00.003006;-501
AlphaBetaAgent;Lose;0:00:00.003004;-501
AlphaBetaAgent;Lose;0:00:00.003012;-501
AlphaBetaAgent;Lose;0:00:00.003028;-501
AlphaBetaAgent;Lose;0:00:00.003004;-501
AlphaBetaAgent;Lose;0:00:00.006994;-501
AlphaBetaAgent;Lose;0:00:00.004001;-501
AlphaBetaAgent;Lose;0:00:00.005987;-501
AlphaBetaAgent;Lose;0:00:00.008004;-501
AlphaBetaAgent;Lose;0:00:00.541374;-502
AlphaBetaAgent;Lose;0:00:28.028529;-566
AlphaBetaAgent;Win;0:00:59.348283;1015
AlphaBetaAgent;Lose;0:00:37.565150;874
AlphaBetaAgent;Lose;0:00:05.820831;-340
AlphaBetaAgent;Lose;0:00:20.645551;649
AlphaBetaAgent;Win;0:02:15.518622;1021
AlphaBetaAgent;Win;0:00:29.152631;1926
AlphaBetaAgent;Lose;0:00:21.870795;181
AlphaBetaAgent;Lose;0:00:08.247852;-326
AlphaBetaAgent;Lose;0:00:04.961818;-311
AlphaBetaAgent;Lose;0:00:31.419528;510
AlphaBetaAgent;Win;0:00:30.503688;1494
AlphaBetaAgent;Win;0:00:34.662365;1667
AlphaBetaAgent;Win;0:00:44.696242;1209
AlphaBetaAgent;Win;0:00:32.759790;1479
AlphaBetaAgent;Lose;0:00:32.646955;652
AlphaBetaAgent;Win;0:00:36.506518;1300
AlphaBetaAgent;Lose;0:00:08.609988;-180
AlphaBetaAgent;Win;0:00:37.487545;1453
AlphaBetaAgent;Win;0:00:29.227942;1703
AlphaBetaAgent;Win;0:00:37.660028;1652
ExpectimaxAgent;Lose;0:00:02.669921;-393
ExpectimaxAgent;Lose;0:00:02.124320;-420
ExpectimaxAgent;Lose;0:00:02.710815;-393
ExpectimaxAgent;Lose;0:00:33.098035;458
ExpectimaxAgent;Lose;0:00:02.607262;-393
ExpectimaxAgent;Lose;0:00:02.616813;-393
ExpectimaxAgent;Lose;0:00:02.034544;-420
ExpectimaxAgent;Win;0:00:55.660694;1343
ExpectimaxAgent;Win;0:00:48.196427;1183
AlphaBetaAgent;Lose;0:00:04.812384;-504
ExpectimaxAgent;Lose;0:00:03.805950;-502
ExpectimaxAgent;Lose;0:00:08.198705;-508
AlphaBetaAgent;Lose;0:00:12.817635;-251
AlphaBetaAgent;Lose;0:00:01.431717;-455
AlphaBetaAgent;Lose;0:00:03.880057;-384
AlphaBetaAgent;Win;0:02:07.703996;1433
AlphaBetaAgent;Win;0:01:00.290174;1046
AlphaBetaAgent;Lose;0:00:32.251740;119
AlphaBetaAgent;Win;0:00:56.954939;1086
ExpectimaxAgent;Win;0:02:07.684464;900
ExpectimaxAgent;Lose;0:00:04.382648;-493
AlphaBetaAgent;Lose;0:00:05.550208;-495
AlphaBetaAgent;Lose;0:00:26.692734;-507
ExpectimaxAgent;Lose;0:00:20.913418;-456
AlphaBetaAgent;Lose;0:00:05.488975;-460
AlphaBetaAgent;Lose;0:00:09.275864;-478
AlphaBetaAgent;Win;0:01:08.368388;946
ExpectimaxAgent;Win;0:00:46.037829;1097
ExpectimaxAgent;Win;0:01:55.030834;781
ExpectimaxAgent;Win;10;1140
ExpectimaxAgent;Win;15;1087
ExpectimaxAgent;Win;8;1152
ExpectimaxAgent;Win;45;506
ExpectimaxAgent;Win;13;1019
ExpectimaxAgent;Win;12;1119
ExpectimaxAgent;Win;29;511
ExpectimaxAgent;Win;37;488
ExpectimaxAgent;Win;22;605
ExpectimaxAgent;Win;13;1092
