Algorithm;Condition;Time;Score
ExpectimaxAgent;Lose;73;23
ExpectimaxAgent;Lose;35;18
ExpectimaxAgent;Win;69;1113
ExpectimaxAgent;Lose;47;-93
ExpectimaxAgent;Lose;79;99
ExpectimaxAgent;Lose;86;-53
ExpectimaxAgent;Lose;79;97
ExpectimaxAgent;Lose;154;2
ExpectimaxAgent;Lose;278;-138
ExpectimaxAgent;Lose;34;78
ExpectimaxAgent;Lose;52;-138
ExpectimaxAgent;Lose;585;-124
ExpectimaxAgent;Lose;25;-27
ExpectimaxAgent;Lose;34;-128
ExpectimaxAgent;Lose;20;-197
ExpectimaxAgent;Lose;598;-6
ExpectimaxAgent;Lose;27;-166
ExpectimaxAgent;Lose;40;-259
ExpectimaxAgent;Lose;47;95
ExpectimaxAgent;Lose;305;119
ExpectimaxAgent;Lose;42;-127
ExpectimaxAgent;Lose;30;-131
ExpectimaxAgent;Win;665;1119
ExpectimaxAgent;Lose;22;-251
ExpectimaxAgent;Lose;56;86
ExpectimaxAgent;Lose;41;55
ExpectimaxAgent;Lose;57;-81
ExpectimaxAgent;Lose;1515;114
ExpectimaxAgent;Lose;32;-97
ExpectimaxAgent;Lose;45;-404
ExpectimaxAgent;Lose;111;52
ExpectimaxAgent;Lose;78;110
ExpectimaxAgent;Lose;1583;-114
